Date,Open,High,Low,Close,Volume,Symbol
2023-12-16,48.54153060913086,50.076934814453125,48.27914047241211,49.367794036865234,43350069,BSV-USD
2023-12-17,49.37042999267578,50.10790252685547,48.56574630737305,48.64653015136719,45512397,BSV-USD
2023-12-18,48.63493347167969,48.80472183227539,45.59819412231445,48.37562561035156,51367429,BSV-USD
2023-12-19,48.38368225097656,49.73801040649414,47.37461471557617,48.11280059814453,44967391,BSV-USD
2023-12-20,48.12267303466797,50.083621978759766,47.95234680175781,49.37721633911133,47412950,BSV-USD
2023-12-21,49.37812042236328,50.590599060058594,48.86319351196289,49.60512161254883,50323297,BSV-USD
2023-12-22,49.60067367553711,51.154029846191406,49.259971618652344,50.90211486816406,66166016,BSV-USD
2023-12-23,50.89801025390625,50.933284759521484,49.47294235229492,50.42598342895508,42191208,BSV-USD
2023-12-24,50.421566009521484,50.42472457885742,48.42869567871094,48.926856994628906,45285075,BSV-USD
2023-12-25,48.926815032958984,51.304264068603516,48.54429626464844,50.98762130737305,47733179,BSV-USD
2023-12-26,50.98451232910156,51.006900787353516,47.873130798339844,49.83638381958008,50131435,BSV-USD
2023-12-27,49.842735290527344,75.08070373535156,49.44878387451172,75.08070373535156,372695915,BSV-USD
2023-12-28,75.06950378417969,94.0910873413086,74.15391540527344,91.54552459716797,882608465,BSV-USD
2023-12-29,91.55929565429688,105.6155014038086,80.99674224853516,95.66162872314453,711102264,BSV-USD
2023-12-30,95.63758850097656,101.70771789550781,91.21378326416016,93.41655731201172,334963240,BSV-USD
2023-12-31,93.39237976074219,100.32202911376953,87.82093048095703,95.68408966064453,300075882,BSV-USD
2024-01-01,95.67989349365234,111.15702056884766,94.52337646484375,103.9399642944336,439662157,BSV-USD
2024-01-02,103.97198486328125,106.45307159423828,95.56885528564453,98.91049194335938,309329445,BSV-USD
2024-01-03,98.87554168701172,100.03990936279297,81.75276184082031,86.3843002319336,278082776,BSV-USD
2024-01-04,86.40522003173828,87.88618469238281,81.92108917236328,84.93450164794922,163516943,BSV-USD
2024-01-05,84.9193344116211,84.96549224853516,79.02204132080078,83.49868774414062,125536447,BSV-USD
2024-01-06,83.51094818115234,88.91934204101562,80.20655822753906,81.44634246826172,202471512,BSV-USD
2024-01-07,81.45520782470703,81.80172729492188,76.83556365966797,77.42740631103516,89027728,BSV-USD
2024-01-08,77.40575408935547,94.5137710571289,70.88524627685547,92.47425079345703,221995592,BSV-USD
2024-01-09,92.60646057128906,95.27884674072266,86.47228240966797,90.26386260986328,405007406,BSV-USD
2024-01-10,90.27289581298828,96.09815216064453,87.75814056396484,92.67749786376953,350878333,BSV-USD
2024-01-11,92.81553649902344,101.00927734375,89.81863403320312,95.4359359741211,335260533,BSV-USD
