,Index,0,1,2,3,4,5,6,7,8,9,Cluster
23,DOT-USD,-3.978369231802545,-0.019443932781467645,0.0003886500187887223,-0.0021093543204564196,-0.0015412582389157572,0.0008104016698628381,-0.0015550339923458049,-0.00017804487870045594,-0.00048588539274116774,0.00018014578840866265,0
24,EGLD-USD,-3.871303309523703,-0.014910048343958277,0.0004878740851600171,0.008376985955411122,-0.012413415270017386,-0.0007194537844400109,0.004013431702073006,0.0026231149264627114,0.007615044987310794,0.00793153744121509,0
25,EOS-USD,-3.993644898258226,-0.02088249452867987,0.0003810704551437675,-0.00291220633060092,-0.0008092542745182839,0.001065393866975332,-0.0021680946441635326,-9.696865339258647e-05,-0.0012583687518158996,-0.0005196092048465873,0
26,ETC-USD,-3.9346738237873886,-0.014064683888208383,0.00019268131102118097,-0.001948227852348525,-0.001780285484031609,-0.00016125717716134188,0.0003485768911775623,-0.0005316201655156339,-0.0005799172070854399,0.0004529599816317896,0
27,ETH-USD,2.2165631968783632,0.5504778126842461,-0.009770172364186423,0.025832420642733098,0.008595751580186241,-0.0012103103319572332,-0.0003996041576567257,0.004572573463561281,-0.005881565305815677,0.007614570700952144,2
28,FIL-USD,-3.9811801919388508,-0.019224303730443298,0.0003963544391256154,-0.0019797438375471596,-0.0017326025982626562,0.0006194082740710582,-0.0011851489839519874,-0.00029447714098281604,-0.0008984909119022004,4.636653526489388e-05,0
29,FLOW-USD,-3.993964787839783,-0.021144043281659603,0.0003889056452308984,-0.002763814041564947,-0.0007863418418617836,0.0010718016865372217,-0.0021684002290588487,-0.0001752604907584265,-0.0012260984193977064,-0.0005105239151250554,0
30,FLR-USD,-3.996145201584358,-0.021588840977877204,0.00037838380133653184,-0.0029660506489460844,-0.00044670234270092097,0.0011670139654733037,-0.0024247713807453385,-0.000198390814534422,-0.0012934150626436134,-0.0006543421534721996,0
31,FTM-USD,-3.99516636599284,-0.021416430031559026,0.00038180930331689806,-0.0028770044900783384,-0.0006244090009341312,0.0011434029936741258,-0.0023561006113509524,-0.00019572129460486792,-0.0012679772228799684,-0.0005646994426110622,0
32,GRT6719-USD,-3.995795964303786,-0.02157603409237893,0.0003788109120907049,-0.0029356640613575164,-0.0004592099500378762,0.0011639424758072272,-0.0024141457056005796,-0.00020026737923029914,-0.0012845511811858206,-0.0006361908225030157,0
33,HBAR-USD,-3.9960152268702176,-0.021595690737352752,0.0003788483709411581,-0.0029730741857953097,-0.0004392714652384161,0.0011684347208437064,-0.002424407836676531,-0.00019739953346658965,-0.001282165208054938,-0.0006583342463555542,0
34,HEX-USD,-3.9961397942560635,-0.02155460290257474,0.000380124043006387,-0.002961529811075756,-0.0004885089532357622,0.0011562120558673606,-0.002396861240065143,-0.00019424208066488657,-0.0012937057409806584,-0.0006464707207028071,0
35,HNT-USD,-3.987789326911522,-0.024316192299360287,0.0005007552622840291,0.00016368873688731128,-6.170082917533196e-06,0.0010066018184981848,-0.0022182284674751402,-0.0011738217711477392,2.084531199798816e-05,-0.0004378860216388374,0
36,ICP-USD,-3.978318338490089,-0.022461112373972004,0.0005208541442772499,0.0012428998978613,-0.0016698754119310233,0.0007373835763326415,-0.0018593818276162871,-0.002759521454234038,0.00022009929478592461,0.0003335799020229507,0
37,IMX10603-USD,-3.992738973328578,-0.02208964432024517,0.0004190872590769867,-0.0019516262208409806,-0.0006392453689733831,0.0010857591876773762,-0.0022097796834300507,-0.00036550912319016496,-0.0010849596572714655,-0.0004174884916136519,0
