ds,yhat,yhat_lower,yhat_upper
2023-10-04,27529.535211689676,24592.08974795472,30408.603612986703
2023-10-05,27467.009722357405,24512.82787786424,30381.49314327981
2023-10-06,27439.484140623044,24613.113362818618,30250.33054934233
2023-10-07,27506.01766872969,24704.44892066309,30455.821051337953
2023-10-08,27654.802220675207,24744.774735845152,30413.23306312059
2023-10-09,27998.36190000971,24900.316515222865,30782.533909288264
2023-10-10,28236.81497057378,25309.991187928783,31077.488667639005
2023-10-11,28519.354906685585,25702.982998351476,31554.543898980843
2023-10-12,28456.829417353183,25492.199118591216,31118.336622563518
2023-10-13,28429.30383561961,25422.344593145128,31568.421675043985
2023-10-14,28495.83736372558,25370.72437270635,31523.10915887942
2023-10-15,28644.62191567158,25741.48870547272,31652.24720015557
2023-10-16,29166.835943255293,26101.586122561523,32030.15767507154
2023-10-17,29583.94336206861,26606.501005492937,32487.102671672266
2023-10-18,30045.137646429688,27007.570235219973,32784.62448705811
2023-10-19,30161.266505347503,27208.447963703697,33297.86464399171
2023-10-20,30312.395271862337,27317.789597792384,33132.87584770838
2023-10-21,30557.583148217833,27363.182374423228,33479.631603442525
2023-10-22,30885.02204841257,27945.95468704405,33619.20282469684
2023-10-23,31407.236075996647,28350.98668561131,34308.56822705978
2023-10-24,31824.343494809294,29053.62482837007,34819.8938301915
2023-10-25,32285.537779170954,29399.218066916856,35101.25079115287
2023-10-26,32401.666638088354,29574.34873011093,35399.963355856155
2023-10-27,32552.795404603337,29747.46407447686,35584.27055074879
2023-10-28,32724.55609010966,29961.134097149577,35789.900072926
2023-10-29,32978.567799455726,30044.046548121976,35822.84427354737
2023-10-30,33427.35463619058,30487.366188718035,36422.88886612209
2023-10-31,33771.03486415405,31084.129023992693,36794.7929749012
2023-11-01,34158.80195766626,31256.003490221192,37306.89395529448
2023-11-02,34201.503625734884,31221.018838046886,37152.05685766889
2023-11-03,34279.20520140043,31409.016241245372,37221.766657223954
2023-11-04,34450.96588690702,31540.837130260683,37445.430404199076
2023-11-05,34704.97759625242,31682.432403345832,37472.21201153238
2023-11-06,35153.764432987904,32356.338380327503,37878.805258240944
2023-11-07,35497.44466095144,32216.42697640221,38505.03564881821
2023-11-08,35830.13949437558,33012.78684268019,38864.39594383071
2023-11-09,35817.76890235658,32994.37002211547,38818.61756294601
2023-11-10,35840.39821793338,33041.33387688641,38595.977873549265
2023-11-11,35957.08664335188,32888.360659550985,38986.81107639381
2023-11-12,36156.026092609696,33139.07745457952,39074.93822625419
2023-11-13,36549.74066925715,33521.57700471591,39392.87385395331
2023-11-14,36838.3486371325,33830.55605407186,39795.525301728536
2023-11-15,37171.04347055663,34146.57109324487,39965.15348403923
2023-11-16,37158.672878537414,34379.290745384336,40248.220233576205
2023-11-17,37181.30219411443,34286.399314358634,39994.56621985032
2023-11-18,37297.99061953287,34386.049539131534,40201.416507208705
2023-11-19,37496.93006879087,34581.27490145261,40384.88086322987
2023-11-20,37890.64475296354,34926.318171441024,40809.627792533924
2023-11-21,38179.25282836578,35255.54255413752,41080.03303630071
2023-11-22,38511.94776931585,35527.78833175386,41527.773270090605
2023-11-23,38499.57728482247,35525.25859652984,41681.799048161745
2023-11-24,38522.206707925485,35449.18185002269,41535.350900148864
2023-11-25,38638.89524087058,35685.09422864632,41362.5232842723
2023-11-26,38837.83479765443,35744.96023759959,41720.6555071174
2023-11-27,39231.54948182747,36270.77653684662,42052.45257642093
2023-11-28,39520.15755722966,36624.494824793,42224.674934277034
2023-11-29,39852.85249817956,37005.24251814634,42700.076826075805
2023-11-30,39840.48201368591,36756.05020883509,42413.983649203656
2023-12-01,39863.11143679001,36948.52437888966,43007.83564316499
2023-12-02,39979.799958494215,37111.82870750595,42813.063556878005
2023-12-03,40178.73950403738,37232.26105959402,43360.14157706836
2023-12-04,40572.45417696967,37559.28049881963,43258.016768370566
2023-12-05,40861.06224113142,37813.351670877215,43696.972997675184
